adc_id,adc_name,drug_status,antibody_name,antigen_id,antigen_name,payload_id,payload_name,payload_identity,payload_target,payload_mechanism,linker_name,activity_id,standard_type,is_potency_endpoint,relation,value_raw,value_numeric,units,is_molar_unit,cell_line,disease_model,source_url,source_html
DRG0BIVOI,Anti-KIT 9P3-SMCC-DM1,Investigative,Anti-KIT mAb 9P3,TAR0SDULL,Mast/stem cell growth factor receptor Kit (KIT),PAY0JCIBW,Mertansine DM1,PAY0JCIBW,Microtubule (MT),microtubule-disrupting,Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC),ADCC008208,Max inhibition rate (MIR),0,=,98,98.0,%,0,CVCL_1569,Lung small cell carcinoma,https://adcdb.idrblab.net/data/adc/details/DRG0BIVOI,data/raw/adcdb_idrblab/adc_details/DRG0BIVOI.html
DRG0BIVOI,Anti-KIT 9P3-SMCC-DM1,Investigative,Anti-KIT mAb 9P3,TAR0SDULL,Mast/stem cell growth factor receptor Kit (KIT),PAY0JCIBW,Mertansine DM1,PAY0JCIBW,Microtubule (MT),microtubule-disrupting,Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC),ADCC008210,Max inhibition rate (MIR),0,=,99,99.0,%,0,CVCL_1453,Lung small cell carcinoma,https://adcdb.idrblab.net/data/adc/details/DRG0BIVOI,data/raw/adcdb_idrblab/adc_details/DRG0BIVOI.html
DRG0BIVOI,Anti-KIT 9P3-SMCC-DM1,Investigative,Anti-KIT mAb 9P3,TAR0SDULL,Mast/stem cell growth factor receptor Kit (KIT),PAY0JCIBW,Mertansine DM1,PAY0JCIBW,Microtubule (MT),microtubule-disrupting,Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC),ADCC008205,Max inhibition rate (MIR),0,=,99,99.0,%,0,CVCL_0104,Essential thrombocythemia,https://adcdb.idrblab.net/data/adc/details/DRG0BIVOI,data/raw/adcdb_idrblab/adc_details/DRG0BIVOI.html
DRG0BIVOI,Anti-KIT 9P3-SMCC-DM1,Investigative,Anti-KIT mAb 9P3,TAR0SDULL,Mast/stem cell growth factor receptor Kit (KIT),PAY0JCIBW,Mertansine DM1,PAY0JCIBW,Microtubule (MT),microtubule-disrupting,Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC),ADCC008204,Max inhibition rate (MIR),0,=,99,99.0,%,0,CVCL_2196,Adult acute myeloid leukemia,https://adcdb.idrblab.net/data/adc/details/DRG0BIVOI,data/raw/adcdb_idrblab/adc_details/DRG0BIVOI.html
DRG0BIVOI,Anti-KIT 9P3-SMCC-DM1,Investigative,Anti-KIT mAb 9P3,TAR0SDULL,Mast/stem cell growth factor receptor Kit (KIT),PAY0JCIBW,Mertansine DM1,PAY0JCIBW,Microtubule (MT),microtubule-disrupting,Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC),ADCC008203,Max inhibition rate (MIR),0,=,99,99.0,%,0,CVCL_2149,Acute myeloid leukemia,https://adcdb.idrblab.net/data/adc/details/DRG0BIVOI,data/raw/adcdb_idrblab/adc_details/DRG0BIVOI.html
DRG0BIVOI,Anti-KIT 9P3-SMCC-DM1,Investigative,Anti-KIT mAb 9P3,TAR0SDULL,Mast/stem cell growth factor receptor Kit (KIT),PAY0JCIBW,Mertansine DM1,PAY0JCIBW,Microtubule (MT),microtubule-disrupting,Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC),ADCC008202,Max inhibition rate (MIR),0,=,100,100.0,%,0,CVCL_2106,Acute megakaryoblastic leukemia,https://adcdb.idrblab.net/data/adc/details/DRG0BIVOI,data/raw/adcdb_idrblab/adc_details/DRG0BIVOI.html
DRG0BIVOI,Anti-KIT 9P3-SMCC-DM1,Investigative,Anti-KIT mAb 9P3,TAR0SDULL,Mast/stem cell growth factor receptor Kit (KIT),PAY0JCIBW,Mertansine DM1,PAY0JCIBW,Microtubule (MT),microtubule-disrupting,Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC),ADCC008200,Max inhibition rate (MIR),0,=,100,100.0,%,0,CVCL_0589,Myeloid leukemia with maturation,https://adcdb.idrblab.net/data/adc/details/DRG0BIVOI,data/raw/adcdb_idrblab/adc_details/DRG0BIVOI.html
DRG0BIVOI,Anti-KIT 9P3-SMCC-DM1,Investigative,Anti-KIT mAb 9P3,TAR0SDULL,Mast/stem cell growth factor receptor Kit (KIT),PAY0JCIBW,Mertansine DM1,PAY0JCIBW,Microtubule (MT),microtubule-disrupting,Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC),ADCC008192,Half Maximum Growth Inhibitory Concentration (GI50),1,=,0.02,0.02,nM,1,CVCL_4976,Gastrointestinal stromal tumor,https://adcdb.idrblab.net/data/adc/details/DRG0BIVOI,data/raw/adcdb_idrblab/adc_details/DRG0BIVOI.html
DRG0BIVOI,Anti-KIT 9P3-SMCC-DM1,Investigative,Anti-KIT mAb 9P3,TAR0SDULL,Mast/stem cell growth factor receptor Kit (KIT),PAY0JCIBW,Mertansine DM1,PAY0JCIBW,Microtubule (MT),microtubule-disrupting,Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC),ADCC008194,Half Maximum Growth Inhibitory Concentration (GI50),1,=,0.05,0.05,nM,1,CVCL_1569,Lung small cell carcinoma,https://adcdb.idrblab.net/data/adc/details/DRG0BIVOI,data/raw/adcdb_idrblab/adc_details/DRG0BIVOI.html
DRG0BIVOI,Anti-KIT 9P3-SMCC-DM1,Investigative,Anti-KIT mAb 9P3,TAR0SDULL,Mast/stem cell growth factor receptor Kit (KIT),PAY0JCIBW,Mertansine DM1,PAY0JCIBW,Microtubule (MT),microtubule-disrupting,Succinimidyl-4-(N-maleimidomethyl)cyclohexane-1-carboxylate (SMCC),ADCC008184,Half Maximum Growth Inhibitory Concentration (GI50),1,=,0.05,0.05,nM,1,CVCL_0217,Acute megakaryoblastic leukemia,https://adcdb.idrblab.net/data/adc/details/DRG0BIVOI,data/raw/adcdb_idrblab/adc_details/DRG0BIVOI.html
