path,relative_path,top_level,suffix,bytes,sha256,note
data/raw/adcdb_idrblab/adc_details/DRG0CQCIH.html,adcdb_idrblab/adc_details/DRG0CQCIH.html,adcdb_idrblab,.html,43823,f44b61c7307ba47d7526d978ad8eb920034b5d954e52b6967bfcc01c8d5fb82d,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0CRHCH.html,adcdb_idrblab/adc_details/DRG0CRHCH.html,adcdb_idrblab,.html,52238,ec836def882cca93ad54145e1262f1e55e48d3615b015c03db1faece03cea90d,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0CVRIW.html,adcdb_idrblab/adc_details/DRG0CVRIW.html,adcdb_idrblab,.html,42999,b43d2f995d24514dc8792e0ab2ddb258a7d45a80d403b5dd2a2aff21cc840d55,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0CWQFB.html,adcdb_idrblab/adc_details/DRG0CWQFB.html,adcdb_idrblab,.html,32538,494ef1bf68cc8222071c76064724cdbd88946e7089015e6a6a48c648659fb76a,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0CXFTH.html,adcdb_idrblab/adc_details/DRG0CXFTH.html,adcdb_idrblab,.html,242391,0f4c99bd91a31aa74d222b10c20d5da16c3e078880ceadea3085abac9a0a4adf,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0CXIUK.html,adcdb_idrblab/adc_details/DRG0CXIUK.html,adcdb_idrblab,.html,44280,c3fda4eda7bf658666f0b6535b72127f92a338206ce16840f3031ab0a176e6a8,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0CXLYV.html,adcdb_idrblab/adc_details/DRG0CXLYV.html,adcdb_idrblab,.html,32574,ef161d64bef719fcc1b2683caeb56a2728fa2c94d9bc3f4935bc1886cab69459,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0CYMEB.html,adcdb_idrblab/adc_details/DRG0CYMEB.html,adcdb_idrblab,.html,471199,128c51b8f7779f30695a36b6f17943b4d4ad33f62db69a6f5f201b377f92f459,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0CYYHU.html,adcdb_idrblab/adc_details/DRG0CYYHU.html,adcdb_idrblab,.html,44414,0a0d6c4044ced11f0c484b21bc06ce78c65aa183b6cecf9afa73867b31d51287,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
data/raw/adcdb_idrblab/adc_details/DRG0CZZTF.html,adcdb_idrblab/adc_details/DRG0CZZTF.html,adcdb_idrblab,.html,41475,073384b478a7bae90b30492e5bd4ecdc17707237678d4d4850a08ef40d18bd6b,Official ADCdb ADC detail HTML with component metadata and cell-line activity rows.
