cell_antigen_context,cell_line,antigen_name,mechanism_a,mechanism_b,payload_units_a,payload_units_b,input_observations_a,input_observations_b,unique_payloads_a,unique_payloads_b,unit_response_a,unit_response_b,unit_response_diff_a_minus_b,observation_prevalence_a,observation_prevalence_b,observation_prevalence_diff_a_minus_b,a_higher,b_higher,equal,both_arms_2plus_payloads,either_arm_2plus_payloads,has_unit_response_difference,payloads_a,payloads_b,payload_pairing_signature
Calu-6 cells || CD276 antigen (CD276),Calu-6 cells,CD276 antigen (CD276),DNA-damaging,microtubule-disrupting,1,1,1,4,1,1,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0,0,1,0,0,0,PAY0SOSMQ,PAY0FSXOW,PAY0SOSMQ|PAY0FSXOW
HCT 15 cells || Epidermal growth factor receptor (EGFR),HCT 15 cells,Epidermal growth factor receptor (EGFR),DNA-damaging,microtubule-disrupting,1,1,1,1,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1,0,0,0,PAY0AKDAM,PAY0FSXOW,PAY0AKDAM|PAY0FSXOW
Hs 700T cells || CD276 antigen (CD276),Hs 700T cells,CD276 antigen (CD276),DNA-damaging,microtubule-disrupting,1,1,1,4,1,1,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0,0,1,0,0,0,PAY0SOSMQ,PAY0FSXOW,PAY0SOSMQ|PAY0FSXOW
LoVo cells || Epidermal growth factor receptor (EGFR),LoVo cells,Epidermal growth factor receptor (EGFR),DNA-damaging,microtubule-disrupting,1,1,1,1,1,1,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0,0,1,0,0,0,PAY0AKDAM,PAY0FSXOW,PAY0AKDAM|PAY0FSXOW
MDA-MB-231 cells || Receptor tyrosine-protein kinase erbB-2 (HER2),MDA-MB-231 cells,Receptor tyrosine-protein kinase erbB-2 (HER2),DNA-damaging,microtubule-disrupting,1,2,1,2,1,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1,0,1,0,PAY0QKJME,PAY0FSXOW;PAY0JCIBW,PAY0QKJME|PAY0FSXOW;PAY0QKJME|PAY0JCIBW
MDA-MB-231 cells || Tyrosine-protein kinase receptor UFO (AXL),MDA-MB-231 cells,Tyrosine-protein kinase receptor UFO (AXL),DNA-damaging,microtubule-disrupting,1,1,1,2,1,1,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0,0,1,0,0,0,PAY0XBVCC,PAY0FSXOW,PAY0XBVCC|PAY0FSXOW
MDA-MB-468 cells || CD276 antigen (CD276),MDA-MB-468 cells,CD276 antigen (CD276),DNA-damaging,microtubule-disrupting,1,1,1,4,1,1,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0,0,1,0,0,0,PAY0SOSMQ,PAY0FSXOW,PAY0SOSMQ|PAY0FSXOW
NCI-H1703 cells || CD276 antigen (CD276),NCI-H1703 cells,CD276 antigen (CD276),DNA-damaging,microtubule-disrupting,1,1,1,4,1,1,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0,0,1,0,0,0,PAY0SOSMQ,PAY0FSXOW,PAY0SOSMQ|PAY0FSXOW
PA-1 cells || CD276 antigen (CD276),PA-1 cells,CD276 antigen (CD276),DNA-damaging,microtubule-disrupting,1,1,1,4,1,1,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0,0,1,0,0,0,PAY0SOSMQ,PAY0FSXOW,PAY0SOSMQ|PAY0FSXOW
Raji cells || CD276 antigen (CD276),Raji cells,CD276 antigen (CD276),DNA-damaging,microtubule-disrupting,1,1,1,4,1,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1,0,0,0,PAY0SOSMQ,PAY0FSXOW,PAY0SOSMQ|PAY0FSXOW
SK-BR-3 cells || Receptor tyrosine-protein kinase erbB-2 (HER2),SK-BR-3 cells,Receptor tyrosine-protein kinase erbB-2 (HER2),DNA-damaging,microtubule-disrupting,1,3,2,9,1,3,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0,0,1,0,1,0,PAY0LZRXU,PAY0FSXOW;PAY0JCIBW;PAY0VZVPQ,PAY0LZRXU|PAY0FSXOW;PAY0LZRXU|PAY0JCIBW;PAY0LZRXU|PAY0VZVPQ
SK-OV-3 cells || Receptor tyrosine-protein kinase erbB-2 (HER2),SK-OV-3 cells,Receptor tyrosine-protein kinase erbB-2 (HER2),DNA-damaging,microtubule-disrupting,1,2,1,4,1,2,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0,0,1,0,1,0,PAY0QKJME,PAY0FSXOW;PAY0VZVPQ,PAY0QKJME|PAY0FSXOW;PAY0QKJME|PAY0VZVPQ
U-87MG cells || Epidermal growth factor receptor (EGFR),U-87MG cells,Epidermal growth factor receptor (EGFR),DNA-damaging,microtubule-disrupting,1,1,1,2,1,1,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0,0,1,0,0,0,PAY0AKDAM,PAY0FSXOW,PAY0AKDAM|PAY0FSXOW
SK-OV-3 cells || Receptor tyrosine-protein kinase erbB-2 (HER2),SK-OV-3 cells,Receptor tyrosine-protein kinase erbB-2 (HER2),Topo-I inhibitor,microtubule-disrupting,1,2,4,4,1,2,0.0000,1.0000,-1.0000,0.0000,1.0000,-1.0000,0,1,0,0,1,1,PAY0ZVBAI,PAY0FSXOW;PAY0VZVPQ,PAY0ZVBAI|PAY0FSXOW;PAY0ZVBAI|PAY0VZVPQ
CVCL_0033 || Receptor tyrosine-protein kinase erbB-2 (HER2),CVCL_0033,Receptor tyrosine-protein kinase erbB-2 (HER2),Topo-I inhibitor,microtubule-disrupting,1,1,1,1,1,1,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0,0,1,0,0,0,PAY0WSZPJ,PAY0FSXOW,PAY0WSZPJ|PAY0FSXOW
CVCL_0479 || Cadherin-6 (CDH6),CVCL_0479,Cadherin-6 (CDH6),Topo-I inhibitor,microtubule-disrupting,1,1,4,1,1,1,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,0,0,1,0,0,0,PAY0UXDSB,PAY0GTSVM,PAY0UXDSB|PAY0GTSVM
MCF-7 cells || Receptor tyrosine-protein kinase erbB-2 (HER2),MCF-7 cells,Receptor tyrosine-protein kinase erbB-2 (HER2),Topo-I inhibitor,microtubule-disrupting,1,3,4,5,1,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1,0,1,0,PAY0ZVBAI,PAY0FSXOW;PAY0JCIBW;PAY0VZVPQ,PAY0ZVBAI|PAY0FSXOW;PAY0ZVBAI|PAY0JCIBW;PAY0ZVBAI|PAY0VZVPQ
MDA-MB-231 cells || Receptor tyrosine-protein kinase erbB-2 (HER2),MDA-MB-231 cells,Receptor tyrosine-protein kinase erbB-2 (HER2),Topo-I inhibitor,microtubule-disrupting,1,2,4,2,1,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,1,0,1,0,PAY0ZVBAI,PAY0FSXOW;PAY0JCIBW,PAY0ZVBAI|PAY0FSXOW;PAY0ZVBAI|PAY0JCIBW
