adc_id,activity_id,standard_type,relation,value_numeric,units,payload_mechanism,reason
DRG0HDIEW,ADCC002536,Half Maximal Inhibitory Concentration (IC50),=,4.7,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0HPUIL,ADCC000703,Half Maximal Inhibitory Concentration (IC50),>,1.0,pM,microtubule-disrupting,ambiguous_censored_value
DRG0HRDSA,ADCC001897,Half Maximal Effective Concentration (EC50),=,0.09,ug/mL,Other,non_molar_or_missing_value
DRG0HRDSA,ADCC001898,Half Maximal Effective Concentration (EC50),=,43.7,ug/mL,Other,non_molar_or_missing_value
DRG0IFKGK,ADCC008156,Max inhibition rate (MIR),=,54.0,%,microtubule-disrupting,non_potency_endpoint
DRG0IFKGK,ADCC008151,Max inhibition rate (MIR),=,69.0,%,microtubule-disrupting,non_potency_endpoint
DRG0IFKGK,ADCC008146,Max inhibition rate (MIR),=,74.0,%,microtubule-disrupting,non_potency_endpoint
DRG0IFKGK,ADCC008171,Max inhibition rate (MIR),=,80.0,%,microtubule-disrupting,non_potency_endpoint
DRG0IFKGK,ADCC008181,Max inhibition rate (MIR),=,91.0,%,microtubule-disrupting,non_potency_endpoint
DRG0IFKGK,ADCC008166,Max inhibition rate (MIR),=,98.0,%,microtubule-disrupting,non_potency_endpoint
DRG0IFKGK,ADCC008176,Max inhibition rate (MIR),=,99.0,%,microtubule-disrupting,non_potency_endpoint
DRG0IFKGK,ADCC008161,Max inhibition rate (MIR),=,99.0,%,microtubule-disrupting,non_potency_endpoint
DRG0JEVIM,ADCC000382,Half Maximal Inhibitory Concentration (IC50),=,4.91,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0JEVIM,ADCC000384,Half Maximal Inhibitory Concentration (IC50),=,11.28,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0JEVIM,ADCC000383,Half Maximal Inhibitory Concentration (IC50),=,14.54,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0JOHND,ADCC004925,Half Maximal Inhibitory Concentration (IC50),>,0.41,nM,DNA-damaging,ambiguous_censored_value
DRG0JWBNH,ADCC000399,Half Maximal Inhibitory Concentration (IC50),=,4.5,ng/mL,microtubule-disrupting,non_molar_or_missing_value
